document	label
가족끼리 친구끼리 연인끼리 자주 올 것 같아요❤️	1
분위기도 좋고 여기 음식들이 전체적으로 다 맛있어요ㅠㅠ 재방문 꼭 할겁니당❤️ 특히 유자 홀토마토 샐러드랑 오징어리조또 존맛탱.....🤭	1
진짜 별로에요... 한적한거 같아서 들어갔는데 커피진짜 맛없.... 왠만해서 그냥 먹는편인데..	0
빵순이... 빵이 너무 맛있어서 먹고 또 포장해왔어요 !	1
매장이 청결하고 넓고 쾌적해요!! 화장실도 깨끗하고 좋아요! 직원분들이 너무 친절하셔서 기분이 좋았어요~	1
맛있어요! 매장도 넓고 쾌적해요	1
앙버터가 맜있어요 양파쌀 크림빵도 맛있구 가격도 적당하니 좋군요	1
이사와서 알고부턴 시간이 날때마다 가는데요솔직히 매장 청결하지 않고요 전혀 친절하지않고요 카운터 보시는분은 제발 친절 하신분으로 해주시면 기분이 좋을듯 합니다	0
카페 통유리도 맘에들고 주차도 편리해서 좋았어요	1
머그컵에 준다더니 종이컵에 주고 음료 3개시켰는데 2개 주면서 메뉴 다나왔다고 하고 정신없어 보입니다 커피맛은 맛있어요!	1
우선 주차장이 넓고, 빵 나오는 시간에 맞춰가면 빵이 많아요! 2층매장이 넓은데다가 인테리어도 굿! 빵과 커피도 맛있어요"	1
종종 먹는곳~큼직하니 속재료도 엄청 많고 좋아요 이번엔 계란야채 주문했는데..담백하니 맛있어요	1
맛도 좋고 친절하셔서 자주 다니는 집입니다. 완전 강추해요 많이 가주세요	1
리뷰보고 사진은 맛이없어 보일리가 없는데 하고갔어요. 옛날 경양식 돈까스 맛 그대로에요! 수제 소스도 너무 맛있어요.	1
저희한테는 치즈돈까스가 안된다 하시더니 바로 다음 손님들한테는 치즈돈까스를 주문받고 심지어 진짜로 나와서 굉장히 불쾌했습니다.	0
그래서 아주머니께 왜 저희는 안된다고 하셨냐 라고 물어보니 오히려 화를 내시면서 갑자기 치즈돈까스를 만들수있게 있게 되었다라고 말씀하시더라구요.	0
주방에 정보가 잘못 전달되었던가 아니면 뭔가 착오가 있던간에 이거는 소비자가 아니라 본인들 실수가 아닌가요? 왜 저희한테 화를 내셨는지 이해가 가질 않네요.	0
사람은 누구나 실수할 수 있다고 생각합니다. 그러나 본인들의 실수를 사과하기는 커녕 소비자들한테 화를 내심	0
잘못을 가리기에 급급한 모습이 보기 좋지만은 않았습니다. 앞으로는 주의해주세요.	0
예전부터 종종 찾던집이라 오랜만에 방문했네요.대표메뉴 답게 돈까스 보리밥을 시켰는데보리밥은 이전보다 훨씬 깔끔하고 맛나고 괜찮습니다.	1
대표메뉴였던 돈까스가 매우 별로였습니다.	0
양은 많으나 맛이 정말 없었습니다....소스뿐 아니라 고기도...보리밥 먹으러 간건 아니라 다음에 갈때는 먼 훗날 가야겠습니다.예전의 맛으로 돌아와주세요..	0
동네 이사오고 맛집 찾아보다가 맨위에 뜨길래 후기보고 갔는데 너무 별로.. 일단 계단으로 2층올라가야해요 테이블이랑 좌식자리있었어요~	0
돈까스 시키면 보리밥같이준다는 곳~ 골고루 먹어볼려구치즈돈까스랑 등촌정식(함박스테이크.돈까스.생선까스)나오는거 시켰어요	1
와우.....양이 어마무시해서 어지간하면 2이 늘 3.4개시켜먹는데 남기고옴 ㅋㅋㅋ 맛은 애기도같이 먹기좋네여많이 자극적이지않은거같고~부먹.찍먹 미리 말씀드려야해요양이 엄청나서 ㅋㅋ	1
부어나온거 먹다보니 나중엔 바삭한거 먹구싶더라구용맛있어욤:) 돈까스도 두툼하고 보리밥도 너무 맛있네요	1
체온 측정 안하고 출입관리 덩그러니 입구 의자?에 개인 정보 다 보이게 그냥두네요..흠포장하니 된장찌개,열무김치 포함 안되네요;;가격은 똑같이 받고 포장땐 다르네요 ...	0
맛있고 양푸짐해요	1
진심 겁나 빨리나오는데 맛이 옛날같지않음 돈까스 튀김 두껍고 다 뿔어터지ㅁ 그리고 큐알도 안쓰고 방역수칙도 엉망 이제 안갈듯"	1
쇼콜라 크루와상이랑 아인슈페너 맛있어요!	1
일단 직원분들이 친절하고 그중 신재우님께서 친절히 음료설명과 계산을 해주셔서 기분좋게 먹고 왔습니다 다음에 재방문 해야지	1
빵순이... 빵이 너무 맛있어서 먹고 또 포장해왔어요 !	1
매장이 청결하고 넓고 쾌적해요!! 화장실도 깨끗하고 좋아요! 직원분들이 너무 친절하셔서 기분이 좋았어요~	1
맛있어요! 매장도 넓고 쾌적해요	1
앙버터가 맜있어요 양파쌀 크림빵도 맛있구 가격도 적당하니 좋군요	1
이사와서 알고부턴 시간이 날때마다 가는데요솔직히 매장 청결하지 않고요 전혀 친절하지않고요 카운터 보시는분은 제발 친절 하신분으로 해주시면 기분이 좋을듯 합니다	0
카페 통유리도 맘에들고 주차도 편리해서 좋았어요	1
다양한 김밥을 맛볼 수 있는 맛집이에요. 차로 20분 가야하는 맛집이에요. 가깝고, 같은 맛이라 자주 가요~	1
와 속이 진짜 실하고 어른입맛 김밥이네요. 초딩 아들은 너무 크고 맛도 별로라지만 엄만 정말 맛나게 배불리 먹었어요. 검색만 했을땐 좀비싼거 아닌가 했다가 완전 만족이요.	1
크기가 엄청나요. 거기다 맛있어요.엄청커서 밥양 적게 넣어달라고 했는데그래두 커용♡ 맛있어요.	1
유부김밥.. 맛있어요 소가 많고 두꺼워서 엄청 배불러요~~	1
맛있었어요. 정말 한 끼 식사같은 명품김밥이었어요.	1
큰싸이즈 딱풀인데요 푸짐하고 야채많아서 건강해지는 느낌입니다	1
소문 듣고 처음 가봤는데 정말 맛나요. 특별한 김밥 땅기는 날엔 무조건 최대섭 대박김밥! 그냥 기밥으로 때우자가 아니라~~ 맛있는 김밥 먹자! 가 될 꺼예요!	1
명태회 제일 좋아하는데 맛도 근처 김밥집 중에서 제일 깔끔하고 맛있어요.	1
2가지 맛보기 좋구요 김밥무지커요	1
좋은고기 좋은기름을 사용한게 느껴져요~ 오이김치가 느끼함을 잡아주고, 된장국도 삼삼하니 음식이 다 맛있어요~	1
배부르고 맛나요! 돈까스 오이김치 칼국수 조합이 좋아요! 사장님 친절하세요!	1
오늘은 수제비를 먹을수없어서 아쉬었어요 ㅠㅠ 아쉽게 못 먹었어요~	0
돈까스 맛잇어요 고기가 부드럽고 소스는 자극적이지 않네요. 살짝 카레맛도 납니다.	1
항상 사람많아서 혼자 먹을 타이밍 잡기가 어려워요.	0
포장으로 수제비랑 돈까스 해왔어요. 사람한테 뭐라하는데 기다리면서 다들리니깐.. 저한테 하는 소리같고 기분 너무 나쁘더라구요.	0 
넘 화나서 들린다고 말할까말까하다가 화내고 왔습니다. 맛도없고 손님응대가 저급이네요.	0
맛도 좋고 항상 친절 하세요	1
돈까스 짱맛이에요!	1
집근처에 있어서 자주 갈듯요	1
수제비 국물 주시는 것도 색다르고 오이무침도 맛있네요^^	0
돈까스 부드럽고 소스도 맛있어요! 집에서 만든 것 처럼 정성이 가득한 음식입니다 오이무침도 샐러드도 맛있어서 좋아요	1
신메뉴라서 시켯는데 새우에서 냄새가났어요ㅠㅠ 위생이 별론가봅니다	0
피자헛의 맛은 언제나 실망시키지 않아요~	1
맛있어요.	1
응대에 친절하시고 피자가 맛있어요	1
맛있어요 만족합니다	1
굿"	1
너무 맛나고 사장님들 친절하세요. 화장실이 가게 안에 있는데 화장실 청결에 신경쓰시는게 보여서 진짜 더더더 만족 스러웠어요!!	1
말모 말모 내마음 속 원픽 곱창집👍	1
이제야 여기를 알다니 원통하도다	1
맛집은 이유가 있네요!! 진짜 맛있고 사장님 너무 친절해요ㅜㅜ 힘든날 왔는데 에너지 충전하고 갑니다!! 서비스도 잘먹었습니당!!	1
긴말안하고 한마디만 ""나만알고싶은집""	1
맛있게 먹었엉ㅅ	1
레트로 분위기에, 곱창 2인분 + 볶음밥 까지 맛있게 먹었습니다.간, 리필 요청드리니 처음보다 더 많이.주시네요.( 서비스 굿 )	1
곱창이랑 대창 넘모 맛있어요, 사장님도 친절하시고 동네 맛집이에오	1
거여동 찐맛집!! 맛있어서 자주가요~	1
너무 맛있습니다. 예전보다 가격이 올랐지만 그래도 가성비 좋은 편이에요.	1
soso	0
너무 불친절하고 여사장님 통화소리 너무 시끄러워요.	0 
들어갈때부터 먹고 나올때까지 통화. 계산도 한손은 전화기 한손은결제 . 뭐이러지?	0
이집은 모든 메뉴가 다 맛있어서 실패하기 쉽지않음!직원분들 또한 많고 모두 친절하십니다:)무조건 추천드립니다!	1
사시미 커플세트 2인.. 저희는 둘이 먹기 양이 많았어요~ 서비스구이도 주시고, 맛있게 잘 먹었네요	1
음… 알바분들 바쁘셔도 이런 디테일 신경써주시면 좋을 것 같아요! 그리고 우동이 물론 서비스지만 맛있지 않아요!	0
본 메뉴인 회덮밥과 초밥은 너무 좋았습니다! 맛있어용👍🏻	1
와, 배고파서 빨리 먹느라 사진을 못찍었는데 이사오고 초밥 어디서 살지 고민했는데 여기로 정착할게요 존맛이에요	1
커플세트 초밥 고기에 힘줄이 씹여 먹다 결국은 뱉었어요. 식사는 텀이 너무길어 흐름이 깨지는 바람에 즐거운 점심이 되지못했습니다 ㅠ	0
배달로만 먹다 그냥 무난하게먹을만해서 매장왔는데오늘은 밥이 초밥 밥이아니라 알밥의 밥 같은 느낌. 생선도 살짝 비리더라고요 ㅎㅎ..	0
픽업했어요.나레초밥은 처음인데 재료도 신선하고 맛있네요. 구성도 좋아요.가성비도 좋고 생각했던 것보다 더 맛나네요.	1
가성비 좋은 초밥집! 일단 맛있고 늘 만족스러워용. 맛있어요	1
비추합니다 뭔지 모르겠지만 비린내가 나고 입맛에 맞지 않았어요 다른곳이 훨씬 맛있어요	0
맛있어요 만족합니다	1
쌈셀프로가져다가먹을수있어서 좋아요 목살드셔보세요	1
송파쪽에서 꽤나 소문난 삼겹살집. 웻에이징을 하는 것 같은데 고기가 꽤나 신선하고 고소한 맛이 일반 삼겹살을 능가함	1
게다가 직원과 사장님께서 기본적으로 친절하시고 고기를 굽는 솜씨가 예술! 추천!	1
고기는 당연히 맛있고 김치도 직접 담그셔서 그런지 김치찌개가 너~~무 맛있었어요!직원분들도 넘 친절하시고 맛있게 고기를 구워주셔서 넘 편하게 잘 먹었습니다.	1
직원분들이 화구, 후드, 진동벨까지 꼼꼼하게 다 닦으시더라구요ㅠㅠ 고생 많으십니다	1
더욱 번창하시고 적게 일하고 돈 많이 버세여!!! 또갈게여~~!!!	1
고기 진짜 맛있어요	1
고기 진짜 맛있어요ㅠㅠ 이렇게 두툼한 삼겹살 오랜만에 먹네요 직원분들도 친절하시고 삼겹살 맛있게 구워주세요또먹고싶어요ㅠㅠ	1
여기 직원들 친절하고 정말 친절하고 마음따뜻하세요 맛도 좋아요. 김치찌개 필수. 3번째 방문인데. 담주에 또 갈 거 같아요	1
친절하시고 맛있었어요!	1
고기도 맛있고 직원분들 친절하세요	1
청된장찌개 된장술밥 있는거보규 여긴 찐이다 생각했어요 뚝배기 계란찜 중탕계란찜 구분 된것도 그렇고 진짜 하나하나 진심이고 정성이 느껴졌어요	1
고기는뭐 말할것도없고 존맛이였어요사장님 잘먹었었습니다~~	1
고기가 맛있고 직원분들이 정말 친절해요. 직원분들이 다같이 으쌰으쌰 협력하시는 것 보니 고기가 더 맛있어요^^	1
근처에 일땜에 갔다가 주변맛집 검색해서 들어갔는데 넘 맛있게 잘먹었어요~집에올때 이집저집 맛보여주려고 6개 포장해왔네요	1
코로나땜에 일부러 오후 3-4시쯤 갔는데 북적거리진 않아도 그시간에도 손님이 꽤 있어서 놀랬어요~ 순대국이 냄새도 안나고 국물도 맛있고 깔끔했어요~	1
물가가 올라서인지 가격은 동일한거 같은데 모듬에 들어간 순대랑 수육 양이 예전보다 줄었네요.	0
순대도 큼지막하고 식감이 정말 좋았는데 쫀득하면서 입안에서 사르르 녹아내리네요	1
수육도 잡내없이 쫄깃했고 특히 양파부추무침이순대와 수육과 굉장히 잘 어울렸습니다👍	1
다소 아쉬운건 직원분들이 바쁘셔서 그런지 주문하기 어려웠고 다소 불친절하셨어요😭	0
음식 다 맛있었어요! 수육에 나오는 양파김치가 킬포	1
근데 매장이 추워서 그런지 음식이 너무 빨리 식고 계산하시는 분 불친절	0
일부러 찾아가 포장했습니다. 집에서도 그맛 그대로 맛볼수 있어 좋았습니다. 수육은 부위별로 정갈하게 포장되어서 참맛있게 먹었어요.	1
요즘 만원 미만 식사 찾기 힘들잖아요~ 여긴 양도 많고 맛도 정말 좋아요!!! 뜨끈한 순대국밥 한그릇 먹고 나니 몸에서 열이 나네요. 적극 추천합니다!	1
순대정식이랑 순대국밥 시켰는데 순대가 찹쌀이 들었는지 식감이 처음 먹어보는 맛이었어요.고기 냄새 하나도 안나고 부드럽고 정말 맛있어요!	1
순대국밥 내용도 실하고 맛있었어요.	1
밥 양은 성인남자는 부족한 것 같아요.남자분들은 다 공기밥 추가하더라고요.가격이 싸진 않은데 순대국은 괜찮았지만 밥 양은 조금 아쉬웠어요.	0
모듬소(15,000원)술안주이지만 술못하는 이에겐한끼 식사로두 완벽~포장보다 매장에서 먹는게 최고 맛있는듯	1
맛이 좋습니다.생각보다 깔끔한 맛이었고, 순대나 고기에서잡내 없고 담백해서 상당히 만족했습니다.	1
사람이 상당히 많기 때문에 웨이팅은 생각을하셔야 할거 같습니다.좀 더 친절하면 훨씬 좋을거 같습니다.	0
항상 분주한 이곳 포장시에는 밥 선택사항주차관리 해 주시는 분계셔서주차 편리함	1
줄서있는이유가있었네요~재료가신선해요정말맛있네요.따봉~~~~~~	1
몇개월만에 갔더니 메뉴에 양이 없어졌네요 아쉬워요.	0
모듬 메뉴가 사라졌다는 슬픈소식입니다	0
하 몇번을 가도 리뷰를 안남겼는데 오늘은 정말 실망이네요먼저 서빙해주시는분 바뀐건지 서비스가 별로 인거 같아요	0
그냥 허여멀건 하고 그래서 두번째 뒤집을때 불약한거 같다니깐 다 익은거니깐 그냥 불 이대로 두고 먹으라네요	0 
결국 저희가 더 익혀 먹었는데 센불에안구어서 대창이 물기름이 쫙퍼지는데 얼마나 느끼하던지 짜증 났습니다	0
그리고 부추무침 달고 두명이 3인분 시켰는데 평소보다 너무 휑해 보였습니다곱창 대창 양이달라진건 아니겠지만 야채도 없어요	0 
가게도 사장님도 텅텅 비었네요 밑에 다른 분도 같은 생각 하셨던데 이젠 다시 안가렵니다	0
흠 일단 불호 of 불호입니다. 기대가 너무 컸던 탓일까요 그리 크지도 않았음.	0
일단 엄청 친절하단 후기를 많이 봤는데 안 친절하셨습니다. 안 친절해도 상관 없고 양 적은 것도 아쉽지만 괜찮은데 맛이 없었습니다.	0
다른 사람들이 왜 이렇게 물고 빠는지 절대 이해가 안 되더군요. 사람마다 입맛이 다르단 차이로 얘기하기에는 아닌 건 아니라 확실히 얘기할 수 있을 것 같습니다.	0
바닥은 또 왜 이리 미끌미끌한가요 술들 많이 드실텐데 안 넘어지시나요? 악의 없습니다	0
존맛탱 또 먹고 싶어요 😭😭😭	1
가끔씩 땡길때 가서 먹으면 맛있는데 양은기대하지마세요	0
몇년간 애정하던 곳인데 오늘부로 손절합니다.	0 
반도 안먹었는데 옆에서 알바년들 테이블 의자 정리하고 비자루로 청소하고 쓰레기통 비우는 거보고 먹다 그냥 나옴.	0
이럴거면 마감됐다고 손님을 받지나 말던가 돈 몇만원 더 받으려고. 서비스 개 엉망 다신 안옵니다	0
세명이 와서 너무 맛있어서 정신 차려보니 5인분이나 먹어더라구여^^~ 강추합니다 !	1
입맛 없을 때 가는 곳♡ 개인적으로 바쁜 주말보다 주중 점심 메뉴 돌솥밥 사랑입니다.^^ 고기도 구워주시니 편하게 먹을 수 있어요.	1
입맛 없을 때 가는 곳~ 개인적으로 주말 보다는 주중 점심 메뉴 돌솥밥 먹을 수 있어요.고기도 구워주셔서 편히 먹을 수 있어요.^^	1
직원분들 친절하고 고기도 맛있고 밑반찬 정갈하게 잘 나오니 좋거라고요. 고기도 타지 않게 정말 달 구워주셔서 맛있게 잘 먹고왔어요.	1
선주아 서버님께서 너무 맛있게 구워주셔서 즐거운 식사 했습니당! 아이랑 같이 갔는데 밑반찬도 계속 챙겨주시고 많이 배려해주시더라구요ㅎㅎ	1
유쾌하고 친절하셔서 저희도 기분이 너무 좋아지네요 음식 너무 맛있게 잘 먹었습니다!	1
저렴한곳은 아니지만 맛있는곳이에요 :) 가격만큼 맛있는곳이라고 생각합니다!	1
손님들한테 너무 친절하고 매너있게 잘 하시네요~ 고기굽는 솜씨는 기본이고, 마스크 너머로 느껴지는 뷰리플 외모까지~ 조만간 또 오겠습니다.	1
근데 주말저녁에 예약없이갔더니 들어가는 순서는 뒤죽박죽이였고 식사후 적립도 불가능했어요순서바뀐거 항의를해도 소용이없었어요.	0
우연히 들렀는데 음식들이 너무 맛있었어요!	1
고기가 하나도 안 질기고 부드럽고 맛있어요!! 그리고 고기도 하나하나 다 구워주시고 정말 친절하게 서빙해 주십니다. ❤️❤️	1
연말에 맛있는 거 먹으러 동료 분들과 갔는데 기분 좋은 식사했어요. 정말 감사히 잘 먹었습니다^^👍🏻👍🏻👍🏻	1
고기랑 찬 다 맛있어요. 된장찌개도 맛있어요	1
역시 매주먹어도 맛나용언제나 소바는 로꾸아지가 짱짱여름 시작됩니다 어여어여 오세용-손님이에용용-	1
포장해서 와서 먹어도 맛있어요. 양도 많고 맛있어요. 포장해서 와서 먹어도 돈까스와 냉모밀 맛있어요^^	1
겉은 바삭 속은 부드러워요~😁	1
와 진짜 가락동에 돈까스 맛집 인정 문산부인과 갈때마다 뭘파는데 맨날 줄서있지? 하고 오늘 먹으러 한번 가봤는데 ㅋㅋㅋㅋㅋㅋ미쳤어요 존맛탱이다 진짜 ㅋㅋㅋ 모듬까스+냉모밀정식 꼭드세요 다 먹고 고로케3개랑 우동정식 또 먹음👍👍모듬까스랑 냉모밀정식 꼭 드세요!!!!진짜 꼭이요!!	1
돈가스도 맛있고, 냉모밀도 맛있어요~~^^	1
매장이 넓어서 소리가 울리네요.	0
음식이 맛있고 친절해요	1
기대안하고 갔는데 반찬이 전부 맛있더라고요. 간이 너무 짜지도 싱겁지도 않고 적당했고요.	1
반찬 종류도 많고 리필도 가능해서 너무 좋아요! 메인 메뉴 뿐만 아니라 반찬들도 맛있고 직원분들도 너무 친절하세요👍👍	1
